City,dest_id,,,,,Villages,dest_id
Geneva,-2552151,,,,,Zermatt,-2554901
Bern,-2551235,,,,,St. Moritz,-2554009
DelÇmont,-2551757,,,,,Gstaad,-2552338
Solothurn,-2554259,,,,,Lauterbrunnen,-2552811
Biel,-2551274,,,,,Grindelwald,-2552301
Baden,-2551141,,,,,Wengen,-2554808
La Chaux-de-Fonds,-2552726,,,,,MÅrren,-2553282
Aarau,-2550904,,,,,Engelberg,-2551893
Zug,-2554922,,,,,Saas-Fee,-2553924
Locarno,-2552936,,,,,Pontresina,-2553646
Olten,-2553518,,,,,Davos,-2551753
WinterThur,-2554859,,,,,Klosters,4087
St. Gallen,-2554000,,,,,Andermatt,-2551037
Zurich,-2554935,,,,,Interlaken,-2552548
Fribourg,-2552078,,,,,Gruyäres,-2552336
Rapperswil-Jona,900040764,,,,,Appenzell,-2551047
Chur,-2551622,,,,,Ascona,-2551089
Lausanne,-2552809,,,,,Stein am Rhein,-2554334
Brig,-2551394,,,,,Brienz,-2551390
NeuchÉtel,-2553318,,,,,Murten,-2553283
Basel,-2551183,,,,,,
Bellinzona,-2551220,,,,,,
Schaffhausen,-2554061,,,,,,
Sion / Sitten,-2554247,,,,,,
Lugano,-2552969,,,,,,
Montreux,-2553210,,,,,,
Frauenfeld,-2552069,,,,,,
Thun,-2554447,,,,,,
